v,re,s,ra,cohesion_degree,average_speed,average_direction
1.0,0.2,1.0,0.2,0.84087356782,0.989407995632,0.989147281084
1.0,0.4,1.0,0.2,0.853193471609,0.983485902994,0.983300764789
1.0,0.6000000000000001,1.0,0.2,0.875769338296,0.977263369498,0.977137176988
1.0,0.8,1.0,0.2,0.893944128709,0.974442196254,0.974371195135
1.0,1.0,1.0,0.2,0.911728905114,0.974808467705,0.974714657
1.0,1.2,1.0,0.2,0.929901093747,0.975507029791,0.975429584376
1.0,1.4,1.0,0.2,0.936332806888,0.974507490159,0.974416232141
1.0,1.5999999999999999,1.0,0.2,0.940244658348,0.973301052567,0.973199596234
1.0,1.7999999999999998,1.0,0.2,0.941712389381,0.972920857526,0.972784545174
1.0,1.9999999999999998,1.0,0.2,0.942238959671,0.972772934663,0.972517337272
