v,re,s,ra,cohesion_degree,average_speed,average_direction
1.0,0.2,1.0,0.2,0.84087356782,0.989407995632,0.989147281084
1.0,0.2,1.2,0.2,0.844234543852,0.989002790424,0.988743216863
1.0,0.2,1.4,0.2,0.847528091015,0.98900708664,0.988748504949
1.0,0.2,1.5999999999999999,0.2,0.851191629484,0.989064285138,0.988806099759
1.0,0.2,1.7999999999999998,0.2,0.857845900306,0.988967290335,0.988718336383
1.0,0.2,1.9999999999999998,0.2,0.861892811525,0.988555342726,0.988320691625
1.0,0.2,2.1999999999999997,0.2,0.865839571959,0.988525087991,0.988296561945
1.0,0.2,2.4,0.2,0.869676173557,0.988569077914,0.988344830417
1.0,0.2,2.6,0.2,0.873348330912,0.988727836211,0.988512414406
1.0,0.2,2.8000000000000003,0.2,0.876884848035,0.98849414503,0.988272828938
1.0,0.2,3.0000000000000004,0.2,0.87999601344,0.988140844588,0.987922066768
1.0,0.2,3.2000000000000006,0.2,0.883320390605,0.98814643927,0.987918296053
1.0,0.2,3.400000000000001,0.2,0.886781825749,0.987977396575,0.987737658639
1.0,0.2,3.600000000000001,0.2,0.889961283717,0.988486960544,0.988250101563
1.0,0.2,3.800000000000001,0.2,0.893009435175,0.988260375568,0.988025226056
