v,re,s,ra,cohesion_degree,average_speed,average_direction
1.0,0.2,1.0,0.2,0.84087356782,0.989407995632,0.989147281084
1.0,0.2,1.0,0.4,0.927907880585,0.988539967931,0.988249155403
1.0,0.2,1.0,0.6000000000000001,0.993584482279,0.989900477509,0.989541646672
1.0,0.2,1.0,0.8,1.08240335437,0.987943800888,0.987571017536
1.0,0.2,1.0,1.0,1.1928221951,0.987188025875,0.986749887305
1.0,0.2,1.0,1.2,1.29968795231,0.985748099092,0.985217416465
1.0,0.2,1.0,1.4,1.40636082545,0.985449415293,0.984886596656
1.0,0.2,1.0,1.5999999999999999,1.50706784419,0.985093380366,0.98449942403
1.0,0.2,1.0,1.7999999999999998,1.60147365797,0.984664600304,0.984019495605
1.0,0.2,1.0,1.9999999999999998,1.69250461545,0.984450877192,0.983817556388
1.0,0.2,1.0,2.1999999999999997,1.77507575075,0.984059490816,0.983343913522
1.0,0.2,1.0,2.4,1.85510768761,0.983854731371,0.983094832683
1.0,0.2,1.0,2.6,1.93011344873,0.983651947057,0.982822339166
1.0,0.2,1.0,2.8000000000000003,2.0007894136,0.983519068837,0.982615344894
1.0,0.2,1.0,3.0000000000000004,2.06874865444,0.983460556537,0.982512046413
1.0,0.2,1.0,3.2000000000000006,2.13325666601,0.983185765975,0.982161797966
1.0,0.2,1.0,3.400000000000001,2.19538469098,0.983222535055,0.982177007906
1.0,0.2,1.0,3.600000000000001,2.25349976754,0.983146070031,0.982084854329
1.0,0.2,1.0,3.800000000000001,2.30910116949,0.982778426639,0.981656886495
