SimulationId,N_differential,N_average,N_a_cutoff_lv3,N_a_cutoff_lv1,N_u_cutoff_lv3,N_u_cutoff_lv1,T_differential,T_average,T_a_cutoff_lv3,T_a_cutoff_lv1,T_u_cutoff_lv3,T_u_cutoff_lv1
342779_18,70,63,70,70,70,70,61,54,69,66,77,74
342779_19,68,70,59,65,70,68,65,75,46,50,73,68
342779_20,70,70,70,70,70,70,73,69,86,71,72,81
410853_1,70,70,70,70,70,70,71,77,74,77,86,73
410853_2,70,70,67,70,61,70,62,72,62,67,52,66
410853_3,70,70,66,68,64,67,68,77,100,67,60,61
410853_4,70,70,70,70,68,70,73,80,76,73,85,70
410853_5,68,68,70,70,64,70,60,74,80,72,70,66
410853_6,70,68,70,70,63,70,67,71,84,78,63,72
410853_7,70,70,68,70,63,70,69,80,66,73,76,70
410853_8,70,70,68,70,58,70,72,82,97,79,100,77
410853_9,70,65,70,70,64,70,75,64,72,70,68,69
410853_10,70,70,68,60,65,62,73,70,76,51,67,52
410853_11,70,68,67,70,62,70,73,68,65,70,58,70
410853_12,70,70,70,70,70,70,68,80,93,70,88,70
410853_13,70,70,70,70,68,67,75,80,80,73,79,60
410853_14,70,68,70,68,68,70,70,73,70,64,84,65
410853_15,70,70,67,70,63,70,69,76,74,77,97,71
410853_16,68,70,70,70,64,70,63,77,80,74,100,64
410853_17,70,70,65,69,63,70,75,74,63,99,66,68
410853_18,70,70,70,70,68,70,73,94,75,71,87,77
410853_19,70,68,70,70,64,70,69,75,79,72,61,69
410853_20,70,70,70,67,68,68,67,73,71,62,89,67
