r_strength,r_range,a_strength,a_range,c
30,2.0,20,2.4,27.6
30,2.0,20,2.4,27.7
30,2.0,20,2.4,27.8
30,2.0,20,2.4,27.9
30,2.0,20,2.4,28.0
30,2.0,20,2.4,28.1
30,2.0,20,2.4,28.2
30,2.0,20,2.4,28.3
30,2.0,20,2.4,28.4
30,2.0,20,2.4,28.5
30,2.0,20,2.4,28.6
30,2.0,20,2.4,28.7
30,2.0,20,2.4,28.8
30,2.0,20,2.4,28.9
30,2.0,20,2.4,29.0
30,2.0,20,2.4,29.1
30,2.0,20,2.4,29.2
30,2.0,20,2.4,29.3
30,2.0,20,2.4,29.4
30,2.0,20,2.4,29.5
30,2.0,20,2.4,29.6
30,2.0,20,2.4,29.7
30,2.0,20,2.4,29.8
30,2.0,20,2.4,29.9
30,2.0,20,2.4,30.0
30,2.0,20,2.4,30.1
30,2.0,20,2.4,30.2
30,2.0,20,2.4,30.3
30,2.0,20,2.4,30.4
30,2.0,20,2.4,30.5
30,2.0,20,2.4,30.6
30,2.0,20,2.4,30.7
30,2.0,20,2.4,30.8
30,2.0,20,2.4,30.9
30,2.0,20,2.4,31.0
