r_strength,r_range,a_strength,a_range,c
40,2.0,20,2.8,20.8
40,2.0,20,2.8,20.9
40,2.0,20,2.8,21.0
40,2.0,20,2.8,21.1
40,2.0,20,2.8,21.2
40,2.0,20,2.8,21.3
40,2.0,20,2.8,21.4
40,2.0,20,2.8,21.5
40,2.0,20,2.8,21.6
40,2.0,20,2.8,21.7
40,2.0,20,2.8,21.8
40,2.0,20,2.8,21.9
40,2.0,20,2.8,22.0
40,2.0,20,2.8,22.1
40,2.0,20,2.8,22.2
40,2.0,20,2.8,22.3
40,2.0,20,2.8,22.4
40,2.0,20,2.8,22.5
40,2.0,20,2.8,22.6
40,2.0,20,2.8,22.7
40,2.0,20,2.8,22.8
40,2.0,20,2.8,22.9
40,2.0,20,2.8,23.0
40,2.0,20,2.8,23.1
40,2.0,20,2.8,23.2
40,2.0,20,2.8,23.3
40,2.0,20,2.8,23.4
40,2.0,20,2.8,23.5
40,2.0,20,2.8,23.6
40,2.0,20,2.8,23.7
40,2.0,20,2.8,23.8
40,2.0,20,2.8,23.9
40,2.0,20,2.8,24.0
40,2.0,20,2.8,24.1
40,2.0,20,2.8,24.2
40,2.0,20,2.8,24.3
40,2.0,20,2.8,24.4
40,2.0,20,2.8,24.5
40,2.0,20,2.8,24.6
40,2.0,20,2.8,24.7
40,2.0,20,2.8,24.8
40,2.0,20,2.8,24.9
40,2.0,20,2.8,25.0
40,2.0,20,2.8,25.1
40,2.0,20,2.8,25.2
40,2.0,20,2.8,25.3
40,2.0,20,2.8,25.4
40,2.0,20,2.8,25.5
40,2.0,20,2.8,25.6
40,2.0,20,2.8,25.7
40,2.0,20,2.8,25.8
40,2.0,20,2.8,25.9
40,2.0,20,2.8,26.0
40,2.0,20,2.8,26.1
40,2.0,20,2.8,26.2
40,2.0,20,2.8,26.3
40,2.0,20,2.8,26.4
40,2.0,20,2.8,26.5
40,2.0,20,2.8,26.6
40,2.0,20,2.8,26.7
40,2.0,20,2.8,26.8
40,2.0,20,2.8,26.9
40,2.0,20,2.8,27.0
40,2.0,20,2.8,27.1
40,2.0,20,2.8,27.2
40,2.0,20,2.8,27.3
40,2.0,20,2.8,27.4
40,2.0,20,2.8,27.5
40,2.0,20,2.8,27.6
40,2.0,20,2.8,27.7
40,2.0,20,2.8,27.8
40,2.0,20,2.8,27.9
40,2.0,20,2.8,28.0
40,2.0,20,2.8,28.1
40,2.0,20,2.8,28.2
40,2.0,20,2.8,28.3
40,2.0,20,2.8,28.4
40,2.0,20,2.8,28.5
40,2.0,20,2.8,28.6
40,2.0,20,2.8,28.7
40,2.0,20,2.8,28.8
40,2.0,20,2.8,28.9
40,2.0,20,2.8,29.0
40,2.0,20,2.8,29.1
40,2.0,20,2.8,29.2
40,2.0,20,2.8,29.3
40,2.0,20,2.8,29.4
40,2.0,20,2.8,29.5
40,2.0,20,2.8,29.6
40,2.0,20,2.8,29.7
40,2.0,20,2.8,29.8
40,2.0,20,2.8,29.9
40,2.0,20,2.8,30.0
40,2.0,20,2.8,30.1
40,2.0,20,2.8,30.2
40,2.0,20,2.8,30.3
40,2.0,20,2.8,30.4
40,2.0,20,2.8,30.5
40,2.0,20,2.8,30.6
40,2.0,20,2.8,30.7
40,2.0,20,2.8,30.8
40,2.0,20,2.8,30.9
40,2.0,20,2.8,31.0
35,2.0,20,2.6,1.0
35,2.0,20,2.6,1.1
35,2.0,20,2.6,1.2
35,2.0,20,2.6,1.3
35,2.0,20,2.6,1.4
35,2.0,20,2.6,1.5
35,2.0,20,2.6,1.6
35,2.0,20,2.6,1.7
35,2.0,20,2.6,1.8
35,2.0,20,2.6,1.9
35,2.0,20,2.6,2.0
35,2.0,20,2.6,2.1
35,2.0,20,2.6,2.2
35,2.0,20,2.6,2.3
35,2.0,20,2.6,2.4
35,2.0,20,2.6,2.5
35,2.0,20,2.6,2.6
35,2.0,20,2.6,2.7
35,2.0,20,2.6,2.8
35,2.0,20,2.6,2.9
35,2.0,20,2.6,3.0
35,2.0,20,2.6,3.1
35,2.0,20,2.6,3.2
35,2.0,20,2.6,3.3
35,2.0,20,2.6,3.4
35,2.0,20,2.6,3.5
35,2.0,20,2.6,3.6
35,2.0,20,2.6,3.7
35,2.0,20,2.6,3.8
35,2.0,20,2.6,3.9
35,2.0,20,2.6,4.0
35,2.0,20,2.6,4.1
35,2.0,20,2.6,4.2
35,2.0,20,2.6,4.3
35,2.0,20,2.6,4.4
35,2.0,20,2.6,4.5
35,2.0,20,2.6,4.6
35,2.0,20,2.6,4.7
35,2.0,20,2.6,4.8
35,2.0,20,2.6,4.9
35,2.0,20,2.6,5.0
35,2.0,20,2.6,5.1
35,2.0,20,2.6,5.2
35,2.0,20,2.6,5.3
35,2.0,20,2.6,5.4
35,2.0,20,2.6,5.5
35,2.0,20,2.6,5.6
35,2.0,20,2.6,5.7
35,2.0,20,2.6,5.8
35,2.0,20,2.6,5.9
35,2.0,20,2.6,6.0
35,2.0,20,2.6,6.1
35,2.0,20,2.6,6.2
