v,re,s,ra,c_d
3.0,0.2,3.6,0.6,0.13697880379163113
2.2,1.0,2.6,0.6,0.15374481638348236
2.2,1.0,1.2,0.8,0.1201726116533053
1.4,1.0,1.2,1.0,0.1836912403771712
2.2,0.8,4.0,0.4,0.10162226554335836
3.0,0.2,1.2,1.6,0.18812965773187867
2.8,1.4,3.4,0.6,0.1827128868926169
1.6,0.6,1.0,1.2,0.18441252596233046
3.0,1.8,1.8,0.6,0.1121208635462806
2.2,1.0,1.8,0.6,0.11144252585330444
1.8,1.4,3.4,0.6,0.19388348933720065
2.2,0.4,3.2,0.6,0.1618815011108746
2.0,1.0,4.0,0.4,0.10487033200692238
1.0,2.0,1.6,0.8,0.1814255569089254
2.4,0.2,2.2,0.8,0.15821773727482316
1.2,0.6,2.6,0.6,0.15748256423289153
1.0,0.2,1.0,1.0,0.13686697047206955
2.6,1.4,1.6,0.8,0.1636243277988517
1.0,0.8,3.4,0.6,0.1958535401199578
2.0,1.4,1.6,0.8,0.16918650901250928
2.0,0.8,2.2,0.6,0.13357380981896835
1.2,1.4,1.0,1.0,0.15533702578231398
2.4,0.4,1.6,1.0,0.19275876994230545
2.8,0.2,1.4,1.2,0.16545946310992846
2.8,1.6,3.4,0.6,0.1867149547452438
1.2,0.6,1.6,0.6,0.10021436815501908
1.0,1.2,2.4,0.6,0.15594684560681596
3.0,0.4,1.0,1.2,0.13837724323001382
1.4,1.0,2.6,0.6,0.16116684228294392
1.4,1.8,2.2,0.6,0.1444966914430366
1.0,1.0,3.2,0.6,0.1906030668938508
1.2,1.2,3.0,0.6,0.18242093495298764
2.8,0.8,1.6,0.8,0.14963136405984173
2.4,1.4,2.4,0.6,0.14714306902007146
3.0,2.0,1.8,0.8,0.1783542039826562
1.8,0.4,1.0,1.2,0.17081888469555098
1.4,1.8,4.0,0.4,0.10920142749146712
3.0,1.8,3.0,0.6,0.17000690411023694
2.8,1.6,2.4,0.6,0.14288418997407654
1.4,1.8,2.6,0.6,0.1645039857933712
3.0,1.6,4.0,0.4,0.10525609647314373
2.6,0.8,1.2,1.0,0.16180670989275692
2.4,0.6,3.0,0.6,0.15886013408104227
2.6,0.6,1.0,1.4,0.1970204028373621
2.4,0.2,1.2,1.4,0.18469204819000606
2.2,1.2,2.8,0.6,0.16512350993705147
3.0,1.0,2.0,0.8,0.18368058585006866
1.6,0.8,2.0,0.8,0.1999191665130048
1.0,1.8,1.0,0.8,0.1034404923059137
2.0,0.4,1.6,0.8,0.14879539378885767
2.2,0.6,1.8,0.6,0.10513076860979824
1.8,0.6,3.6,0.6,0.1884694784459396
2.8,0.2,2.4,0.8,0.15714951288658802
2.2,1.0,1.6,0.8,0.1621249536142089
2.2,1.4,1.8,0.6,0.1133717205673804
3.0,1.8,2.4,0.6,0.1412284457608071
1.2,1.0,2.4,0.6,0.15269508206691473
1.0,1.6,2.4,0.6,0.1574002189791565
3.0,0.8,1.4,1.0,0.17967726931565134
2.8,1.2,1.2,1.0,0.16771153775413786
1.6,1.2,1.6,0.8,0.17173106760165108
2.4,1.4,3.8,0.4,0.10047481482563657
2.8,1.6,1.8,0.6,0.1113103036552544
2.2,0.2,2.8,0.6,0.13179598328284367
2.8,1.4,4.0,0.4,0.10309570817876723
2.6,0.6,2.4,0.6,0.13175102539072875
2.4,1.0,2.0,0.8,0.1927945168074181
3.0,1.8,2.0,0.6,0.1219869024879366
1.6,2.0,2.0,0.6,0.13266343847134338
2.6,1.8,2.6,0.6,0.1540144816647878
1.2,0.8,4.0,0.4,0.10654487215686366
3.0,0.6,1.0,1.2,0.15435754529154425
1.6,0.2,1.4,1.0,0.16867404063322436
2.0,1.0,3.8,0.8,0.2989966741667781
2.8,0.6,3.2,0.8,0.2381184279037892
2.6,2.0,3.6,0.8,0.2947077961330761
1.2,1.4,3.8,0.6,0.2133464955583971
1.8,1.6,2.8,0.8,0.2634955464379353
1.8,1.8,3.0,0.8,0.26225080223338576
2.6,1.8,3.8,0.8,0.2997492137794238
2.0,1.2,1.4,1.2,0.26826564463888497
1.0,1.6,3.2,0.8,0.29661472920323445
2.0,0.4,1.2,1.6,0.2819338371595789
3.0,2.0,3.8,0.8,0.2918036922400328
2.6,0.8,1.2,1.4,0.25300583664161563
1.6,1.2,1.0,1.6,0.29666301450979315
3.0,1.0,1.4,1.2,0.238313824702462
1.6,0.2,1.2,1.8,0.2826998177074574
1.0,1.8,2.8,0.8,0.2750833599167965
1.8,0.4,2.8,0.8,0.2309159626639168
1.8,0.8,2.8,0.8,0.2485691890844005
2.2,0.4,1.6,1.2,0.2481801755186402
1.0,1.2,2.4,0.8,0.24408609564668665
2.2,0.4,3.2,0.8,0.23888483736218924
2.2,1.6,2.6,0.8,0.2460136249722271
1.6,2.0,1.0,1.2,0.20663657435200428
2.2,0.6,1.6,1.0,0.21016049705713533
2.6,0.4,4.0,0.8,0.26301034811488444
3.0,0.8,3.2,0.8,0.2447736695004973
1.8,0.2,2.4,1.0,0.2487894635695473
2.0,2.0,2.6,0.8,0.25361109373416624
1.2,1.8,4.0,0.6,0.221889785648158
2.8,0.2,1.8,1.4,0.24366341605021846
2.6,1.6,3.2,0.8,0.27485636725032786
1.4,0.2,2.0,1.2,0.2891456887044145
3.0,0.4,1.6,1.4,0.2659403950160385
2.4,0.8,1.0,1.8,0.29778010541780703
1.6,1.8,3.4,0.8,0.28672865197224
3.0,1.6,3.2,0.8,0.2692624250187251
1.6,1.0,2.4,0.8,0.2321121909540336
3.0,1.4,2.4,0.8,0.21978124070343294
