v,re,s,ra,c_d
3.0,0.8,3.4,0.6,0.17048582464819895
1.2,1.6,2.8,0.6,0.17584951269373714
1.0,1.2,2.6,0.6,0.1660131422561406
2.4,1.2,1.8,0.8,0.18132613690909186
2.8,1.4,1.4,1.0,0.1989535894683332
2.2,1.8,3.8,0.4,0.10384350622498348
1.4,0.2,4.0,0.6,0.1884793227668473
2.8,0.6,1.2,0.8,0.10558964862300732
1.4,0.2,1.2,1.0,0.1529120326396613
1.0,0.4,3.4,0.6,0.18824665826542694
2.0,2.0,2.6,0.6,0.1621487041039349
2.2,1.4,1.0,1.2,0.19488948406444492
1.0,0.6,1.2,1.0,0.18225481559594847
1.0,0.2,1.6,0.8,0.1558703929046985
3.0,1.6,1.2,0.8,0.11793187531537708
1.2,1.8,3.6,0.4,0.10067824045580348
2.2,1.6,3.8,0.4,0.10207741059433503
2.2,1.8,1.6,0.8,0.16839129749095666
2.8,0.6,1.2,0.8,0.10558964862300732
1.0,0.8,2.8,0.6,0.17189939990953526
3.0,1.2,4.0,0.6,0.19503372720056752
1.8,0.4,1.0,1.0,0.13322926236865607
2.2,0.2,3.4,0.6,0.15129808333538433
1.6,2.0,3.4,0.6,0.1991373082035488
2.8,1.0,3.4,0.6,0.1784380451702869
1.0,1.6,3.6,0.4,0.10064074540925612
1.4,0.2,2.6,0.6,0.14161637057502366
3.0,1.8,1.4,1.0,0.19986948698393853
1.4,0.6,1.8,0.6,0.1118830174227626
2.8,2.0,2.6,0.6,0.15368058024576442
2.8,1.8,2.6,0.6,0.15279404208090064
1.2,1.6,1.8,0.8,0.1975846796147646
1.8,1.6,3.0,0.6,0.18014439186906905
1.6,2.0,2.6,0.6,0.1649943743104192
1.2,1.2,1.4,0.8,0.15457985630301088
3.0,0.8,2.8,0.6,0.1496297264780403
2.4,0.6,2.2,0.6,0.12615244468459005
1.8,0.8,4.0,0.4,0.103751855515968
2.6,1.4,1.8,0.6,0.1105957758810488
1.4,1.0,1.2,0.8,0.12641613705072216
2.4,1.4,2.0,0.6,0.12490113663013527
1.8,0.8,1.8,0.6,0.1118003791096958
1.4,1.8,3.0,0.6,0.1839657877966176
2.6,0.8,2.4,0.6,0.13810250179798966
1.6,2.0,2.8,0.6,0.1742176113760545
3.0,0.6,4.0,0.6,0.18088223308621448
2.4,1.0,3.0,0.6,0.16905225940952778
2.8,0.8,1.2,0.8,0.11041793554851223
2.4,0.2,1.4,0.8,0.10770185469676986
1.8,1.0,3.2,0.6,0.18255470642238586
2.6,1.0,1.0,1.2,0.17975847758030258
3.0,0.2,1.8,0.8,0.12025196607317006
2.2,1.8,1.0,1.0,0.14972303073173382
2.6,0.2,1.4,0.8,0.1035810980089749
1.6,1.6,2.2,0.6,0.14229122204882574
2.2,1.2,2.0,0.6,0.12526862872091696
3.0,1.8,3.6,0.6,0.1935613218709556
1.0,0.6,3.0,0.6,0.17742640796743073
2.2,0.2,4.0,0.6,0.1673822195984649
2.0,0.2,1.4,1.2,0.19546177382370145
2.0,1.2,3.2,0.6,0.18351754359832292
2.8,1.2,1.2,0.8,0.11560038347022425
2.0,1.8,3.2,0.6,0.18756514631157767
2.4,0.4,1.0,1.4,0.19161687219786228
1.4,1.8,3.0,0.6,0.1839657877966176
2.2,1.6,3.2,0.6,0.18506296625090196
1.0,1.4,2.6,0.6,0.16688456694448467
2.4,1.6,2.2,0.6,0.13591698415204295
2.0,2.0,2.8,0.6,0.17045171422248995
2.8,0.2,1.0,1.4,0.14269988099500586
2.4,0.8,2.0,0.8,0.18746294326008706
1.4,1.8,1.0,0.8,0.10163216075572808
2.4,0.2,2.2,0.6,0.10323020284730657
3.0,1.4,1.6,1.2,0.280524704680565
2.6,0.8,2.6,1.0,0.2955454294483266
1.0,1.6,3.2,0.8,0.29661472920323445
1.8,1.4,1.0,1.6,0.2980195050877839
2.4,1.4,1.6,1.2,0.2947320198417369
3.0,2.0,4.0,0.8,0.2857293059712237
2.2,1.4,3.4,0.8,0.2868600458013899
1.4,1.4,1.2,1.2,0.2453013150542829
1.0,0.6,1.2,1.2,0.23698427394912
1.4,0.2,1.4,1.2,0.21934436529759385
2.2,0.6,2.4,1.0,0.2831191432312088
