v,re,rep_s,rep_ra,att_s,att_ra,c_d
1.429325862322,0.81358254160732,2.89003135147505,0.436230306467041,2.79971450218,1.65619446439669,0.05631846070624841
2.9076171522028704,1.7510920017026397,3.8047077839728396,1.64193717986345,3.3297965759411503,0.224562598532066,0.7486895371652913
2.14085105480626,0.7044164624530821,3.9470781658310403,1.1040830178186298,3.9527669760864197,1.75586942876689,0.05213771717048969
2.28693884890527,1.1599584393668898,1.04328761110082,0.20808250075206197,3.3793572173453903,0.24715092652477302,0.16476576562083278
2.71819866402075,1.9114980094600502,2.57887835451402,0.999087422480807,2.47149249981157,1.1726289479062,0.07793310220970195
1.429325862322,0.81358254160732,2.89003135147505,0.880770829692483,2.79971450218,1.65619446439669,0.058547478861685175
2.99923188844696,1.1383994878735402,3.94062705012038,0.544518812093884,1.10796147631481,1.09301843163557,0.21634378221459266
1.2246292154304699,0.34358241455629496,2.10394965484738,1.5118077437858999,1.5653352981898898,0.975359080219641,0.4655083103082924
2.7125484412536003,1.62677436145023,2.83707426022738,1.74649697407149,1.41336522740312,0.64060958204791,0.7212066067437937
1.23519613826647,0.299997529760003,2.3639522881712796,1.01485207579099,1.37992216926068,1.98379985317588,0.16300224231372215
1.61756409751251,0.36638506278395705,1.3588064550422099,1.6910149860661499,2.06937270821072,0.534193099476397,0.4350149644796054
1.15910873422399,0.8237260928377509,3.1622949251905097,1.33880954338238,1.00683770515025,1.15963393356651,0.5915649342544812
2.63465536432341,1.55493900878355,3.8633848724421096,1.51110936487094,1.0084304364863799,0.414077427983284,0.713474029221646
2.78517828788608,0.8858335964381701,2.66702630463988,1.35774882449768,1.89159197127447,0.34165850919671403,0.5224755159734039
1.8549559595994698,1.4787518507801003,1.32085915771313,0.8029613715130842,3.76509807654656,0.8219991165213292,0.029506160720102738
2.9076171522028704,1.7510920017026397,3.8047077839728396,1.79122105254792,3.3297965759411503,0.224562598532066,0.7839633191349927
2.15585607057437,1.00196456103586,3.0932958610355894,0.33412961387075496,1.48095370735973,1.0980952288489798,0.09798520080677922
1.8221859051846,0.513971033459529,2.1605959213338797,1.70675412905402,2.19064274127595,1.8992774058598998,0.08371920984341912
1.5055893529206499,1.92196425725706,3.34482599119656,0.6611742445267739,2.47279374138452,1.3684861883055401,0.09339401544206151
1.69122876925394,0.685947846155614,1.60514992987737,0.439528004499152,2.12898779590614,1.9702566409949198,0.03913285495807609
1.4913757452741299,0.79037192184478,1.78972764429636,1.67703596143983,1.94667867710814,1.3012629401404399,0.4484700635806854
1.7353529222309598,1.37071213051677,1.8450855396222299,0.591403642110527,1.2362878229469099,0.202300976170227,0.35212078429001537
2.39648861344904,1.83989660996012,3.9756757630966604,0.41139789195731297,3.5113192291464705,1.00394327566028,0.06477236025980805
